dataset,n,alpha,delta_pts,ci_pts,d_z,wins,p_paired,p_fdr_bh,fdr_reject_q0.10,p_bonf
German Credit,50,0.1,1.53,8.62,0.22,2,0.6471,0.909984375,False,1.0
German Credit,50,0.2,1.19,8.95,0.17,2,0.7304,0.9113684210526315,False,1.0
German Credit,50,0.3,-0.79,8.03,-0.12,2,0.7994,0.9223846153846154,False,1.0
German Credit,50,0.5,-0.94,7.82,-0.15,2,0.7561,0.9113684210526315,False,1.0
German Credit,50,1.0,-0.62,14.65,-0.05,3,0.9128,0.9552558139534882,False,1.0
German Credit,100,0.1,1.69,0.85,2.45,5,0.0054,0.10439999999999999,False,0.24300000000000002
German Credit,100,0.2,0.2,3.43,0.07,2,0.8794,0.9422142857142857,False,1.0
German Credit,100,0.3,-1.57,3.75,-0.52,2,0.3082,0.6604285714285714,False,1.0
German Credit,100,0.5,-1.6,2.15,-0.92,0,0.1074,0.40275,False,1.0
German Credit,100,1.0,-2.47,4.08,-0.75,1,0.1679,0.5113125,False,1.0
German Credit,200,0.1,-1.43,1.84,-0.96,1,0.0976,0.40275,False,1.0
German Credit,200,0.2,-3.04,1.88,-2.0,0,0.0111,0.10439999999999999,False,0.4995
German Credit,200,0.3,-4.56,2.87,-1.97,0,0.0116,0.10439999999999999,False,0.522
German Credit,200,0.5,-3.85,4.23,-1.13,1,0.0648,0.3645,False,1.0
German Credit,200,1.0,-8.6,3.82,-2.79,0,0.0033,0.10439999999999999,False,0.1485
Telco Churn,50,0.1,0.76,2.6,0.36,2,0.4605,0.7400892857142858,False,1.0
Telco Churn,50,0.2,-2.45,6.23,-0.49,1,0.3361,0.6874772727272728,False,1.0
Telco Churn,50,0.3,4.26,4.67,1.13,4,0.0643,0.3645,False,1.0
Telco Churn,50,0.5,1.45,5.65,0.32,3,0.5169,0.7753500000000001,False,1.0
Telco Churn,50,1.0,2.57,3.8,0.84,4,0.1336,0.4624615384615385,False,1.0
Telco Churn,100,0.1,-0.57,1.1,-0.64,2,0.2253,0.5963823529411765,False,1.0
Telco Churn,100,0.2,-0.53,1.96,-0.34,1,0.4935,0.7657758620689654,False,1.0
Telco Churn,100,0.3,-0.77,2.48,-0.39,1,0.437,0.7283333333333334,False,1.0
Telco Churn,100,0.5,-1.04,2.79,-0.46,1,0.361,0.706304347826087,False,1.0
Telco Churn,100,1.0,-1.35,2.91,-0.57,1,0.2684,0.6356842105263159,False,1.0
Telco Churn,200,0.1,-0.72,0.74,-1.2,0,0.055,0.3645,False,1.0
Telco Churn,200,0.2,-0.54,0.92,-0.73,1,0.178,0.5113125,False,1.0
Telco Churn,200,0.3,-0.71,0.85,-1.04,0,0.0804,0.40199999999999997,False,1.0
Telco Churn,200,0.5,-0.79,1.36,-0.72,1,0.1818,0.5113125,False,1.0
Telco Churn,200,1.0,-2.46,1.52,-2.01,0,0.0108,0.10439999999999999,False,0.48600000000000004
Hillstrom,50,0.1,-0.14,0.43,-0.42,1,0.3996,0.7103076923076923,False,1.0
Hillstrom,50,0.2,-1.01,2.15,-0.58,1,0.2612,0.6356842105263159,False,1.0
Hillstrom,50,0.3,1.04,2.4,0.54,3,0.2936,0.6604285714285714,False,1.0
Hillstrom,50,0.5,-1.22,5.85,-0.26,1,0.5928,0.860516129032258,False,1.0
Hillstrom,50,1.0,-0.89,7.85,-0.14,1,0.7696,0.9113684210526315,False,1.0
Hillstrom,100,0.1,0.89,5.65,0.2,3,0.6835,0.9113684210526315,False,1.0
Hillstrom,100,0.2,1.32,3.81,0.43,3,0.3895,0.7103076923076923,False,1.0
Hillstrom,100,0.3,0.04,5.18,0.01,2,0.9834,0.9834,False,1.0
Hillstrom,100,0.5,0.2,2.66,0.09,2,0.8475,0.9394024390243902,False,1.0
Hillstrom,100,1.0,1.77,5.37,0.41,3,0.4104,0.7103076923076923,False,1.0
Hillstrom,200,0.1,0.89,6.66,0.17,3,0.7301,0.9113684210526315,False,1.0
Hillstrom,200,0.2,2.36,3.06,0.96,4,0.0987,0.40275,False,1.0
Hillstrom,200,0.3,0.62,8.91,0.09,2,0.8559,0.9394024390243902,False,1.0
Hillstrom,200,0.5,0.14,10.21,0.02,2,0.9722,0.9834,False,1.0
Hillstrom,200,1.0,0.72,6.19,0.14,3,0.7628,0.9113684210526315,False,1.0
