seed,method,auc_roc,f1_minority,avg_precision
42,Baseline,0.7476691729323308,0.0,0.014740235325735353
42,Balanced,0.8392982456140351,0.0,0.010756790761409132
123,Baseline,0.9790203945168839,0.4,0.3814922060476096
123,Balanced,0.8121865596790372,0.1,0.0906167047576462
7,Baseline,0.9653543965229021,0.3076923076923077,0.2866824906119212
7,Balanced,0.9532764961551321,0.2222222222222222,0.2304879770748427
2024,Baseline,0.5670175438596491,0.2857142857142857,0.10806457983833018
2024,Balanced,0.9254135338345865,0.0,0.05812043377425772
999,Baseline,0.9691389028405603,0.3,0.2887628188829562
999,Balanced,0.9641163011328757,0.15,0.11640002666848617
