seed,method,auc_roc,f1_minority,avg_precision
42,Baseline,0.6189059220489386,0.0,0.013636204915036027
42,Balanced,0.5402640877812908,0.02843601895734597,0.012656863409007492
123,Baseline,0.5465579100796053,0.06060606060606061,0.022175405417682606
123,Balanced,0.5969279067159995,0.033707865168539325,0.015929818755658274
7,Baseline,0.6195996874712749,0.0,0.016951142268389435
7,Balanced,0.5726399485246807,0.016,0.012898083332614175
2024,Baseline,0.45032778618255176,0.0,0.007780097148912483
2024,Balanced,0.4753641244697576,0.0,0.00816728499694665
999,Baseline,0.50236456866548,0.0,0.010278198017701178
999,Balanced,0.46240601503759393,0.011764705882352941,0.008783381115521443
