seed,method,condition,alpha,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,0.7476691729323308,0.0,0.014740235325735353
42,TabDDPM,augmented,0.1,0.7768421052631579,0.0,0.008857422219744279
42,TabDDPM,augmented,0.2,0.7027067669172933,0.0,0.008661085055990551
42,TabDDPM,augmented,0.3,0.7355388471177946,0.0,0.01384300544346739
42,TabDDPM,augmented,0.5,0.6938345864661655,0.0,0.0077234736604865776
42,TabDDPM,augmented,1.0,0.8650125313283209,0.0,0.011302213845345944
123,Baseline,real_only,0.0,0.979020394516884,0.4,0.3814922060476096
123,TabDDPM,augmented,0.1,0.9724172517552657,0.36363636363636365,0.3672824564073957
123,TabDDPM,augmented,0.2,0.9607154797726513,0.0,0.07017030348965236
123,TabDDPM,augmented,0.3,0.9695753928452023,0.25,0.20884393490032901
123,TabDDPM,augmented,0.5,0.9403627549314612,0.18181818181818182,0.2064251433112808
123,TabDDPM,augmented,1.0,0.8841524573721165,0.25,0.18559425032066512
7,Baseline,real_only,0.0,0.965354396522902,0.3076923076923077,0.2866824906119212
7,TabDDPM,augmented,0.1,0.8249749247743231,0.4,0.22038934808579472
7,TabDDPM,augmented,0.2,0.952440655299231,0.3076923076923077,0.15155779143120388
7,TabDDPM,augmented,0.3,0.7461969241056503,0.25,0.09562876707144413
7,TabDDPM,augmented,0.5,0.9622199933132732,0.2,0.20196909432515955
7,TabDDPM,augmented,1.0,0.9453360080240722,0.18181818181818182,0.25381779731792226
2024,Baseline,real_only,0.0,0.5670175438596491,0.2857142857142857,0.10806457983833018
2024,TabDDPM,augmented,0.1,0.92,0.2,0.05436933575096868
2024,TabDDPM,augmented,0.2,0.9549874686716793,0.0,0.06632823958614628
2024,TabDDPM,augmented,0.3,0.9374436090225564,0.0,0.02263059897565619
2024,TabDDPM,augmented,0.5,0.9831578947368421,0.2222222222222222,0.13559204440333023
2024,TabDDPM,augmented,1.0,0.8606516290726818,0.0,0.18185089817231861
999,Baseline,real_only,0.0,0.9691389028405603,0.3,0.2887628188829562
999,TabDDPM,augmented,0.1,0.9720408504938892,0.3157894736842105,0.29965245296127646
999,TabDDPM,augmented,0.2,0.9801886265974664,0.15384615384615385,0.16918754009262618
999,TabDDPM,augmented,0.3,0.973101177521067,0.14285714285714285,0.16196695882732923
999,TabDDPM,augmented,0.5,0.9614933869077514,0.2857142857142857,0.2208664319266206
999,TabDDPM,augmented,1.0,0.9672414755287683,0.3333333333333333,0.3730541544679864
