n,seed,method,alpha,auc,error
50,42,Baseline,0.0,0.5804761904761905,
50,42,GReaT,0.1,0.6347619047619047,
50,42,GReaT,0.2,0.6586904761904762,
50,42,GReaT,0.3,0.570595238095238,
50,42,GReaT,0.5,0.5516666666666666,
50,42,GReaT,1.0,0.6342857142857143,
50,123,Baseline,0.0,0.6420238095238096,
50,123,GReaT,0.1,0.6297619047619047,
50,123,GReaT,0.2,0.6021428571428572,
50,123,GReaT,0.3,0.6504166666666666,
50,123,GReaT,0.5,0.6707142857142857,
50,123,GReaT,1.0,0.680357142857143,
50,7,Baseline,0.0,0.7283333333333333,
50,7,GReaT,0.1,0.6985714285714285,
50,7,GReaT,0.2,0.6963095238095238,
50,7,GReaT,0.3,0.6540476190476191,
50,7,GReaT,0.5,0.6683333333333333,
50,7,GReaT,1.0,0.6104761904761905,
50,2024,Baseline,0.0,0.5282738095238095,
50,2024,GReaT,0.1,0.645357142857143,
50,2024,GReaT,0.2,0.6302380952380953,
50,2024,GReaT,0.3,0.6196428571428572,
50,2024,GReaT,0.5,0.6089285714285714,
50,2024,GReaT,1.0,0.6628571428571429,
50,999,Baseline,0.0,0.7438095238095238,
50,999,GReaT,0.1,0.6911904761904762,
50,999,GReaT,0.2,0.6951190476190476,
50,999,GReaT,0.3,0.6889285714285713,
50,999,GReaT,0.5,0.6764285714285715,
50,999,GReaT,1.0,0.6041666666666666,
100,42,Baseline,0.0,0.6919047619047619,
100,42,GReaT,0.1,0.7066666666666667,
100,42,GReaT,0.2,0.6897619047619047,
100,42,GReaT,0.3,0.675595238095238,
100,42,GReaT,0.5,0.6848809523809525,
100,42,GReaT,1.0,0.689047619047619,
100,123,Baseline,0.0,0.7250000000000001,
100,123,GReaT,0.1,0.7316666666666666,
100,123,GReaT,0.2,0.7235714285714286,
100,123,GReaT,0.3,0.695952380952381,
100,123,GReaT,0.5,0.6848809523809524,
100,123,GReaT,1.0,0.7365476190476191,
100,7,Baseline,0.0,0.6770238095238095,
100,7,GReaT,0.1,0.7024999999999999,
100,7,GReaT,0.2,0.7158333333333334,
100,7,GReaT,0.3,0.6928571428571428,
100,7,GReaT,0.5,0.6730952380952381,
100,7,GReaT,1.0,0.6535714285714286,
100,2024,Baseline,0.0,0.6867857142857143,
100,2024,GReaT,0.1,0.7051190476190476,
100,2024,GReaT,0.2,0.6491666666666667,
100,2024,GReaT,0.3,0.6282142857142857,
100,2024,GReaT,0.5,0.6583333333333334,
100,2024,GReaT,1.0,0.612857142857143,
100,999,Baseline,0.0,0.7589285714285715,
100,999,GReaT,0.1,0.7779761904761904,
100,999,GReaT,0.2,0.7713095238095239,
100,999,GReaT,0.3,0.7683333333333334,
100,999,GReaT,0.5,0.7583333333333333,
100,999,GReaT,1.0,0.724047619047619,
200,42,Baseline,0.0,0.7122619047619048,
200,42,GReaT,0.1,0.7226190476190476,
200,42,GReaT,0.2,0.7051190476190476,
200,42,GReaT,0.3,0.6741666666666667,
200,42,GReaT,0.5,0.6763095238095238,
200,42,GReaT,1.0,0.6545238095238095,
200,123,Baseline,0.0,0.8032142857142858,
200,123,GReaT,0.1,0.7748809523809523,
200,123,GReaT,0.2,0.7679761904761906,
200,123,GReaT,0.3,0.7165476190476191,
200,123,GReaT,0.5,0.714047619047619,
200,123,GReaT,1.0,0.6992857142857143,
200,7,Baseline,0.0,0.7563095238095239,
200,7,GReaT,0.1,0.7346428571428573,
200,7,GReaT,0.2,0.7257142857142858,
200,7,GReaT,0.3,0.7203571428571429,
200,7,GReaT,0.5,0.7348809523809524,
200,7,GReaT,1.0,0.6655952380952381,
200,2024,Baseline,0.0,0.7547619047619049,
200,2024,GReaT,0.1,0.7360714285714287,
200,2024,GReaT,0.2,0.7252380952380952,
200,2024,GReaT,0.3,0.7191666666666666,
200,2024,GReaT,0.5,0.7572619047619048,
200,2024,GReaT,1.0,0.7022619047619048,
200,999,Baseline,0.0,0.7671428571428572,
200,999,GReaT,0.1,0.7540476190476191,
200,999,GReaT,0.2,0.717857142857143,
200,999,GReaT,0.3,0.7355952380952381,
200,999,GReaT,0.5,0.718452380952381,
200,999,GReaT,1.0,0.6421428571428571,
