n,seed,method,alpha,auc,error
50,42,Baseline,0.0,0.4960141271442987,
50,42,GReaT,0.1,0.4960141271442987,
50,42,GReaT,0.2,0.4960141271442987,
50,42,GReaT,0.3,0.5276168853010428,
50,42,GReaT,0.5,0.46441136898755464,
50,42,GReaT,1.0,0.46441136898755464,
50,123,Baseline,0.0,0.49364278506559034,
50,123,GReaT,0.1,0.49364278506559034,
50,123,GReaT,0.2,0.49525731584258326,
50,123,GReaT,0.3,0.49217344993833395,
50,123,GReaT,0.5,0.4323393878237471,
50,123,GReaT,1.0,0.41619408005381775,
50,7,Baseline,0.0,0.4994057629779123,
50,7,GReaT,0.1,0.4918286803453301,
50,7,GReaT,0.2,0.48640486601636956,
50,7,GReaT,0.3,0.5067356205852674,
50,7,GReaT,0.5,0.5630311694136113,
50,7,GReaT,1.0,0.593949433793026,
50,2024,Baseline,0.0,0.4928859737638749,
50,2024,GReaT,0.1,0.4928859737638749,
50,2024,GReaT,0.2,0.4928859737638749,
50,2024,GReaT,0.3,0.5210993384908622,
50,2024,GReaT,0.5,0.4646726090368875,
50,2024,GReaT,1.0,0.47975445677766565,
50,999,Baseline,0.0,0.48665937885413163,
50,999,GReaT,0.1,0.4870103150577419,
50,999,GReaT,0.2,0.44731696378517777,
50,999,GReaT,0.3,0.47311806256306754,
50,999,GReaT,0.5,0.4830535934521807,
50,999,GReaT,1.0,0.4699747729566095,
100,42,Baseline,0.0,0.4675423253727996,
100,42,GReaT,0.1,0.5310449601973316,
100,42,GReaT,0.2,0.4992936427850656,
100,42,GReaT,0.3,0.5310449601973316,
100,42,GReaT,0.5,0.4675423253727996,
100,42,GReaT,1.0,0.5310449601973316,
100,123,Baseline,0.0,0.49455095862764886,
100,123,GReaT,0.1,0.48849646821392534,
100,123,GReaT,0.2,0.48849646821392534,
100,123,GReaT,0.3,0.46599618791344316,
100,123,GReaT,0.5,0.4630031393653997,
100,123,GReaT,1.0,0.48748738647830475,
100,7,Baseline,0.0,0.4925910976566879,
100,7,GReaT,0.1,0.5197836080278058,
100,7,GReaT,0.2,0.538884404081175,
100,7,GReaT,0.3,0.4662798520013455,
100,7,GReaT,0.5,0.5141405987218298,
100,7,GReaT,1.0,0.5333809844152931,
100,2024,Baseline,0.0,0.4646726090368875,
100,2024,GReaT,0.1,0.483860298239713,
100,2024,GReaT,0.2,0.48849815001681807,
100,2024,GReaT,0.3,0.48778955039802663,
100,2024,GReaT,0.5,0.48459132189707366,
100,2024,GReaT,1.0,0.5008380984415294,
100,999,Baseline,0.0,0.5226942482341069,
100,999,GReaT,0.1,0.4635037560264604,
100,999,GReaT,0.2,0.49300650297118503,
100,999,GReaT,0.3,0.49300650297118503,
100,999,GReaT,0.5,0.5226017490750083,
100,999,GReaT,1.0,0.4780485480435026,
200,42,Baseline,0.0,0.48208823859177036,
200,42,GReaT,0.1,0.5183081062899428,
200,42,GReaT,0.2,0.5212916246215943,
200,42,GReaT,0.3,0.45118454983742573,
200,42,GReaT,0.5,0.5032542885973763,
200,42,GReaT,1.0,0.506739544792017,
200,123,Baseline,0.0,0.4972115708039018,
200,123,GReaT,0.1,0.43734163022760403,
200,123,GReaT,0.2,0.49248962888216175,
200,123,GReaT,0.3,0.45674234779683826,
200,123,GReaT,0.5,0.4144623836752999,
200,123,GReaT,1.0,0.4375232649400157,
200,7,Baseline,0.0,0.49796726090368876,
200,7,GReaT,0.1,0.46231247897746386,
200,7,GReaT,0.2,0.5003587846171095,
200,7,GReaT,0.3,0.5800611055051015,
200,7,GReaT,0.5,0.4399714093508241,
200,7,GReaT,1.0,0.4762467765444557,
200,2024,Baseline,0.0,0.4638642224464626,
200,2024,GReaT,0.1,0.5294422020405875,
200,2024,GReaT,0.2,0.5178276712635946,
200,2024,GReaT,0.3,0.5490183877116268,
200,2024,GReaT,0.5,0.5918449377732931,
200,2024,GReaT,1.0,0.5354176477183541,
200,999,Baseline,0.0,0.5230877901109989,
200,999,GReaT,0.1,0.5612293979145645,
200,999,GReaT,0.2,0.5504193295212467,
200,999,GReaT,0.3,0.4582772732369099,
200,999,GReaT,0.5,0.5214973651754681,
200,999,GReaT,1.0,0.5443289606458124,
