n,seed,method,alpha,auc,error
50,42,Baseline,0.0,0.6835344492020242,
50,42,GReaT,0.1,0.67298610968839,
50,42,GReaT,0.2,0.6386726352666408,
50,42,GReaT,0.3,0.6633443281227591,
50,42,GReaT,0.5,0.6279866474770032,
50,42,GReaT,1.0,0.6851836676159063,
50,123,Baseline,0.0,0.6882554649566697,
50,123,GReaT,0.1,0.6851631804306406,
50,123,GReaT,0.2,0.6823673198664236,
50,123,GReaT,0.3,0.7298418901477126,
50,123,GReaT,0.5,0.6843500952654115,
50,123,GReaT,1.0,0.6823423511093811,
50,7,Baseline,0.0,0.654436884103993,
50,7,GReaT,0.1,0.6946698746184261,
50,7,GReaT,0.2,0.7079935875110119,
50,7,GReaT,0.3,0.7061900749830982,
50,7,GReaT,0.5,0.6849333398209421,
50,7,GReaT,1.0,0.6712210106328492,
50,2024,Baseline,0.0,0.7121563274671693,
50,2024,GReaT,0.1,0.7071216016881441,
50,2024,GReaT,0.2,0.6372782262194998,
50,2024,GReaT,0.3,0.7741793601852043,
50,2024,GReaT,0.5,0.7532497797627583,
50,2024,GReaT,1.0,0.7684800813341255,
50,999,Baseline,0.0,0.6139433222019627,
50,999,GReaT,0.1,0.6305212964290836,
50,999,GReaT,0.2,0.5635205179160435,
50,999,GReaT,0.3,0.6919950164921842,
50,999,GReaT,0.5,0.6740975394890495,
50,999,GReaT,1.0,0.6734694792157505,
100,42,Baseline,0.0,0.7322683411526091,
100,42,GReaT,0.1,0.7285019001864333,
100,42,GReaT,0.2,0.7155091833807954,
100,42,GReaT,0.3,0.7278949673229396,
100,42,GReaT,0.5,0.711195350433304,
100,42,GReaT,1.0,0.7150783122656779,
100,123,Baseline,0.0,0.7413339206326444,
100,123,GReaT,0.1,0.7438371985822867,
100,123,GReaT,0.2,0.736666683739321,
100,123,GReaT,0.3,0.7253135819794718,
100,123,GReaT,0.5,0.7286350668906598,
100,123,GReaT,1.0,0.7346518971133557,
100,7,Baseline,0.0,0.7674602036426215,
100,7,GReaT,0.1,0.7475114472147671,
100,7,GReaT,0.2,0.7504110241543914,
100,7,GReaT,0.3,0.7356077523509046,
100,7,GReaT,0.5,0.7437654934338572,
100,7,GReaT,1.0,0.7458257360021308,
100,2024,Baseline,0.0,0.7945096904386306,
100,2024,GReaT,0.1,0.7867245600376964,
100,2024,GReaT,0.2,0.7849767470447235,
100,2024,GReaT,0.3,0.7852654883120608,
100,2024,GReaT,0.5,0.7710595460039744,
100,2024,GReaT,1.0,0.7514193778041836,
100,999,Baseline,0.0,0.6981911095859541,
100,999,GReaT,0.1,0.6986866433795661,
100,999,GReaT,0.2,0.7195854930241135,
100,999,GReaT,0.3,0.7210842586712012,
100,999,GReaT,0.5,0.7272675472741801,
100,999,GReaT,1.0,0.7193690971297454,
200,42,Baseline,0.0,0.7378632634037411,
200,42,GReaT,0.1,0.736626989817869,
200,42,GReaT,0.2,0.7260363954846243,
200,42,GReaT,0.3,0.7199939562803467,
200,42,GReaT,0.5,0.7117177736575773,
200,42,GReaT,1.0,0.7118394163200918,
200,123,Baseline,0.0,0.7717106543606973,
200,123,GReaT,0.1,0.7677822365860155,
200,123,GReaT,0.2,0.7708316260678946,
200,123,GReaT,0.3,0.7699257083444305,
200,123,GReaT,0.5,0.7692918860502755,
200,123,GReaT,1.0,0.7550673772305423,
200,7,Baseline,0.0,0.779627671016779,
200,7,GReaT,0.1,0.7703232877834915,
200,7,GReaT,0.2,0.7771756110303005,
200,7,GReaT,0.3,0.7776026407981808,
200,7,GReaT,0.5,0.7813121017803364,
200,7,GReaT,1.0,0.7343426686607527,
200,2024,Baseline,0.0,0.7703047212718445,
200,2024,GReaT,0.1,0.7654364538731024,
200,2024,GReaT,0.2,0.7729853414189424,
200,2024,GReaT,0.3,0.7662642642027412,
200,2024,GReaT,0.5,0.7609779301796726,
200,2024,GReaT,1.0,0.754284382618672,
200,999,Baseline,0.0,0.7759745497941039,
200,999,GReaT,0.1,0.7594727622871893,
200,999,GReaT,0.2,0.7614766650959824,
200,999,GReaT,0.3,0.766079239310811,
200,999,GReaT,0.5,0.7727158068877917,
200,999,GReaT,1.0,0.7569592407449142,
