dataset,method,task,baseline,tstr,best_augmented,best_alpha,notes
Telco Churn,GaussianCopula,classification,0.8370006367415398,0.8025544724622226,0.839365122093896,0.2,
Telco Churn,CTGAN,classification,0.8370006367415398,0.7512010084329427,0.8357659793654327,0.2,
Telco Churn,SMOTE,classification,0.8370006367415398,,0.830954180492931,0.1,
Bank Marketing,GaussianCopula,classification,0.9085022676944158,0.7504804801898044,0.9103714888916852,0.2,
Bank Marketing,CTGAN,classification,0.9085022676944158,0.7186069247224399,0.9043529838169324,0.2,
Bank Marketing,SMOTE,classification,0.9085022676944158,,0.9078333059080512,0.1,
German Credit,GaussianCopula,classification,0.7748809523809524,0.564047619047619,0.7819047619047619,0.1,
German Credit,CTGAN,classification,0.7748809523809524,0.5111904761904762,0.815952380952381,0.3,
German Credit,SMOTE,classification,0.7748809523809524,,0.7730952380952381,0.1,
Online Retail CLV,GaussianCopula,regression,-0.33514765344899455,-0.012504535022890284,-0.11764851084775896,0.5,
Online Retail CLV,CTGAN,regression,-0.33514765344899455,-0.057447211505838425,-0.12763283488979216,0.3,
GReaT German Credit (GPT-2),GReaT,classification,0.6446,n/a,0.6375,n=50,GPU experiment; holdout=200; least-bad at n=50 (-0.7 pts within CI); -7.0 pts at n=100; -5.9 pts at n=200; -3.0 pts at n=500; anonymized features f0-f19 undermine LLM priors
GReaT Hillstrom (GPT-2),GReaT,classification,0.4937,n/a,0.5162,n=50,GPU experiment; holdout=10K; marginal +2.3pts at n=50 (4/5 seeds); −6.9pts at n=2000 (significant); class imbalance 0.9% confounds semantic feature benefit
GReaT Telco Churn (GPT-2),GReaT,classification,0.6705,n/a,0.7098,n=50,GPU experiment; holdout=2000; Phase 1 α=1.0 showed +3.9 pts at n=50 (paired p=0.023; BH-FDR p=0.074 over Phase 1 family); Phase 5 α-sweep on same seeds gave +2.57 pts at α=1.0 (p=0.134) and +4.26 pts at α=0.3 (p=0.064); direction-stable but GReaT-fit variance ±5 pp makes single-fit magnitude estimates unreliable; original headline lost paired significance in independent re-run
